created_at,query,statuses_count,followers_count,friends_count,user_location,full_text,cleaned,class
Wed Feb 16 21:00:54 +0000 2022,Arsenal,2294,1057,721,Usa,"Distributors, we have added another counter display to our arsenal, the RSH-50 Surge Protector 12-pack display. Reach out to your sales representative to get one today! To learn why contractors prefer RSH series surge protection, visit https://t.co/S5upyPxhUi. #surgeprotection https://t.co/1oE9C79Ryy",distributor added another counter display surge protector display reach sale representative get one today learn contractor prefer rsh series surge protection visit,0
Wed Feb 16 21:00:52 +0000 2022,Arsenal,2300,625,2086,Uganda,"@seanfoy88 @ABFlorida21 @piersmorgan Who is in 8th right now , according to you , we are wining only 3games &amp; 1 draw for 60points, 
United finishing second 
If no so tell us according to your knowledge,  its only Arsenal that will fail 
This is how your Table will end.. https://t.co/iWRfISpntU",right according wining amp draw united finishing second tell according knowledge fail table end,-1
Wed Feb 16 21:00:26 +0000 2022,Arsenal,4855,15,79,Usa,"@TheView @drlaurenawright I think a permanent place on the ""NO FLY LIST"" for most serious crimes, found guilty by a court ... It would be the most powerful detergent in our arsenal - and is eco friendly w/ no risk of munitions hurting innocent bystanders. @JoyVBehar @sunny @TheView",think permanent place fly list serious crime found guilty court would powerful detergent eco friendly risk munition hurting innocent bystander,0
Wed Feb 16 20:59:21 +0000 2022,Arsenal,144973,1014,680,England,"@N_Juelz @WelBeast Not impossible but with what's happening atm, i don't see arsenal making top 4 this season. They took their foot off the pedal recently. United, Wolves and West ham seem more consistent in the race for top 4. Some of the aforementioned have games in hand.",impossible happening atm see making top season took foot pedal recently united wolf west ham seem consistent race top aforementioned game hand,-1
Wed Feb 16 21:29:59 +0000 2022,Arsenal,24077,569,1663,England,"@baddontommy @cyp_toon 2/2 may not like the idea but have to move with the times &amp; go where the revenue is, city moved to etihad, West Ham moved , arsenal moved spurs moved , even Southampton back in the day , need state of the art these days as state of the art training ground facilities/stadium 2/2",may like idea move time amp revenue city moved etihad west ham moved moved spur moved even southampton back day need state art day state art training ground,0
Wed Feb 16 21:29:21 +0000 2022,Arsenal,10352,267,430,England,@TheDevilsFinish @EbeSZNV3 At least Robbie is an Arsenal fan and it's not like he's influencing Kids like Goldbridge does.,least robbie fan like influencing kid like goldbridge,1
Wed Feb 16 21:28:29 +0000 2022,Arsenal,37297,6515,836,England,Watching Luis Diaz play for Liverpool and you can just tell he’s one of those players that’ll always score against Arsenal.,watching luis diaz play liverpool tell one player always score,1
Wed Feb 16 21:28:24 +0000 2022,Arsenal,44405,1410,3158,England,@griffett_jake @jRandall_9 I misread your tweet..basically your saying who has better young players than Arsenal..not Liverpool,misread tweet basically saying better young player liverpool,-1
Wed Feb 16 21:27:45 +0000 2022,Arsenal,3347,1357,1200,Cameroon,@princewell256 @Cristiano It’s funny how no one has ever worn an Arsenal shirt and said anything sensible,funny one ever worn shirt said anything sensible,-1
Wed Feb 16 21:27:02 +0000 2022,Arsenal,8428,503,596,Germany,"@Ars_Oscar @FCBayernEN this is champions league convos, i beg you arsenal fan go chat with clubs your level like burnley and brighton",champion league convos beg fan chat club level like burnley brighton,-1
Wed Feb 16 21:26:50 +0000 2022,Arsenal,669,37,217,Sweden,"@Arsenal_Editor @Gunnersc0m This is the most impressive thing Klopp has done imo. For example he buys Mane and Salah who are good, makes them world class in his system, and creates a way of playing that is very dominant. He doesn’t buy the best players in the world, he makes them!",impressive thing klopp done imo example buy mane salah good make world class system creates way playing dominant buy best player world make,1
Wed Feb 16 21:26:33 +0000 2022,Arsenal,7668,6745,6473,England,@Kalophain Arsenal has never been this bad playing against Italian team. The first English team to win at San Siro. Check your facts 😅,never bad playing italian team first english team win san siro check fact,-1
Wed Feb 16 21:25:40 +0000 2022,Arsenal,19504,155,319,Usa,@arsenaloFka Looks like the Gunnersaurus would buy to make sure your kid never supports Arsenal,look like gunnersaurus would buy make sure kid never support,-1
Wed Feb 16 21:43:48 +0000 2022,Arsenal,144991,1014,681,England,@N_Juelz @WelBeast I'd like to see Arsenal play in the champions league though. Goodluck to your team.,like see play champion league though goodluck team,1
Wed Feb 16 21:40:07 +0000 2022,Arsenal,7182,298,164,England,I don't care what anyone says Alexis Sanchez was an absolute baller at Arsenal. One of my favourite all time players for us. Gave everything. Happy he flopped at united though 👀🤣,care anyone say alexis sanchez absolute baller one favourite time player gave everything happy flopped united though,1
Wed Feb 16 21:59:46 +0000 2022,Arsenal,256,25,59,England,@OzilThings Alexis is simply the best player in the Emirates era could be argued with Fabregas or RVP. Ozil is not anywhere near them during his time at arsenal chap,alexis simply best player emirate era could argued fabregas rvp ozil anywhere near time chap,1
Wed Feb 16 21:59:28 +0000 2022,Arsenal,3092,1164,522,Usa,@MLRDesignAt Real Madrid and Arsenal are the only 2 teams I cheer for. But huge fan of many individual players,real madrid team cheer huge fan many individual player,1
Wed Feb 16 21:57:09 +0000 2022,Arsenal,39052,788,452,Usa,"Two former Arsenal players serving as Champions League-focused pundits while we’re not in the competition hurts to see, to be honest. I really do hope we get back there.",two former player serving champion pundit competition hurt see honest really hope get back,-1
Wed Feb 16 21:54:35 +0000 2022,Arsenal,5192,294,254,Usa,@NSftbl People really like the Lacazette 2.0s… the same thing goes for David. They aren’t for Arsenal… period,people really like lacazette thing david period,-1
Wed Feb 16 22:15:15 +0000 2022,Arsenal,57799,305,282,England,"What worse times? 

When is the perfect time to say that Arsenal has to make top 4 or the season would be a failure? 😊😊😊 https://t.co/OL8eEs7Kqz",worse time perfect time say make top season would failure,0
Wed Feb 16 22:11:35 +0000 2022,Arsenal,14123,145,103,England,"So the wolves still moaning about loss to arsenal, and our celebration. 
@arsenal better smash them at home. 
I will be there to watch this.",wolf still moaning loss celebration better smash home watch,1
Wed Feb 16 22:10:50 +0000 2022,Arsenal,490,18,117,Ghana,"@Arsenal Hey boy listen, if you and Arsenal want us to believe you are building something then stop playing sluggish football and start scoring your opponents like Man City does. Our game sometimes too slow and sluggish and at the end it becomes draw game. We want a smart game @AFTVMedia",hey boy listen want believe building something stop playing sluggish football start scoring opponent like man city game sometimes slow sluggish end becomes draw game want smart game,-1
Wed Feb 16 22:08:11 +0000 2022,Arsenal,22936,290,648,England,@kiddbanditpro Don’t worry buddy. What ever Cody got to do. He’s got to do. Let’s focus on the next step Kidd. Oh one more thing. Check your dm when you get the chance. I got a move I think that would be great for your arsenal.,worry buddy ever cody got got let focus next step kidd one thing check get chance got move think would great,-1
Wed Feb 16 22:07:38 +0000 2022,Arsenal,600,55,674,England,"@Nik_Solomonson @TroopzAFC Exactly this, arsenal haven’t played in any European competition the minimum they should get is top 4!! All the other big teams who had a year out of Europe bounced straight back the next season if we don’t it’s a fail!!",exactly played european competition minimum get top big team year europe bounced straight back next season fail,-1
Wed Feb 16 22:30:59 +0000 2022,Arsenal,46219,545,501,England,"Arsenal is the only club where you can spend 250 mill and not be expected to get at least t4. The current excuse is ""we have a young team"" like Wenger wasn't already doing it year in year out dispite having much less resources and like we're not almost 3 years into this ""rebuild""",club spend mill expected get least current excuse young team like wenger already year year dispite much resource like almost year rebuild,-1
Wed Feb 16 22:24:09 +0000 2022,Arsenal,119479,676,3820,England,@aftabgujral Brexit. Tories. Slasher films. Arsenal. Libertarians. Fox News. Ignorance. Nigel Farage. Bigotry.,brexit tory slasher film libertarian fox news ignorance nigel farage bigotry,0
Wed Feb 16 22:45:58 +0000 2022,Arsenal,2550,56,332,England,"@zulfikarsenal Wow, according to this guy @m8arteta the fraud is the only manager in world football!! Fuck me @Arsenal god help you with fans like this 😂😂 #ArtetaOut #eduout #ArtetaTheFraud He ain’t even a kit man let alone a manager !!!",wow according guy fraud manager world football fuck god help fan like even kit man let alone manager,-1
Wed Feb 16 22:40:03 +0000 2022,Arsenal,6893,1621,476,Usa,#Arsenal supporters in Baltimore! Come join us Saturday morning at The Abbey in Federal Hill when the Gunners take on Brentford FC. Kickoff is 10 AM on Peacock. #COYG #charmcitygooners,supporter baltimore come join saturday morning abbey federal hill gunner take brentford kickoff peacock,1
Wed Feb 16 22:58:55 +0000 2022,Arsenal,6477,141,154,Denmark,"@TotalTacticsFPL But it seems like Arsenal will have DGW in GW28 aswell, so it would be a transfer for the future with Arsenal players. But I would probably not do -8 for it.",seems like dgw aswell would transfer future player would probably,1
Wed Feb 16 22:57:24 +0000 2022,Arsenal,5833,3101,231,England,"@nonewthing @__isaiahjones he’s not a right back and has never played in that position for us, so if arsenal want a young right back, they should probably get a, you know, right back",right back never played position want young right back probably get know right back,1
Wed Feb 16 22:57:02 +0000 2022,Arsenal,20981,3961,3734,England,"We at @TheArmouryTV would love &amp; appreciate your support! For some great Arsenal discussion, debate and bants, check us out and Subscribe to our YT Channel; https://t.co/blR0lGqRia https://t.co/nlicy8267m",would love amp appreciate support great discussion debate bants check subscribe channel,0
Wed Feb 16 23:06:53 +0000 2022,Arsenal,12403,831,1579,England,"@ZaimUTD If we can get some decent results against spurs, arsenal, them guys, I can back us to do it. We just need to get the goals flowing now.",get decent result spur guy back need get goal flowing,1
Wed Feb 16 23:19:35 +0000 2022,Arsenal,45662,1722,919,Kenya,"'“It’s a club that is very close to my heart,” he says. “I go back and visit whenever I can. I played with (now-technical director) Edu at Arsenal and with (now-manager) Mikel Arteta at Everton. I feel a good connection there.”,",club close heart say back visit whenever played director edu mikel arteta everton feel good connection,1
Wed Feb 16 23:17:51 +0000 2022,Arsenal,770,25,204,South Africa,"@jessy_nguema @3TheBeasT3 @ZakariaOutten @Arora__Ldn @Akpommed @SK_arsenal @GurjitAFC Wenger finished 6th - Wenger out
Emery finished 5th and gets us to Europa final - Emery out
Arteta finished 8th 2 season back to back - oh no we need time😵‍💫
but meantime Emery beat us, won Europa and is 2nd with 4 points behind Madrid 😑 we still waiting for top 6",wenger finished wenger emery finished get europa final emery arteta finished season back back need meantime emery beat europa point behind madrid still waiting top,1
Wed Feb 16 23:40:41 +0000 2022,Arsenal,6287,236,805,England,"@DannyAFCTV says Arteta should still walk EVEN if Arsenal finish in the #Top4 😉
Catch the full 1 hour long All Gunners Podcast with Myself Danny and @Zed_TAGP here 👇🏽
https://t.co/cKKQnUBhX0

#Arsenal #AllGunners #AFC",say arteta still walk even finish catch full hour long gunner podcast danny,0
Wed Feb 16 23:38:29 +0000 2022,Arsenal,984,218,1190,England,@Nayyrobiii Someone said joe Gomez would start for arsenal lol someone that can’t make first team,someone said joe gomez would start lol someone make first team,-1
Thu Feb 17 00:00:23 +0000 2022,Arsenal,34645,1664,646,England,"I don’t think Joe Gomez would be 4th choice at Arsenal but it’s a bit pedantic of me to point that out, he definitely doesn’t start over Gabriel or White.",think joe gomez would choice bit pedantic point definitely start gabriel white,0
Wed Feb 16 23:56:30 +0000 2022,Arsenal,24210,909,362,Ireland,"If Arsenal sign a top right back, Joe Gomez would be 5th choice centre back",sign top right back joe gomez would choice centre back,0
Thu Feb 17 00:26:10 +0000 2022,Arsenal,151355,2918,5000,Usa,Bravo!  Biden’s Top Labor Lawyer Will Use Her Whole Enforcement Arsenal - Bloomberg Businessweek https://t.co/k11uBmXqsV,bravo biden top labor lawyer use whole enforcement bloomberg businessweek,1
Thu Feb 17 00:41:14 +0000 2022,Arsenal,294,10,4,Usa,"🍀Yippy skippy &amp; lucky us!!!🍀Chris from @luckyroadrunshop is going to be our race starter &amp; official Leprechaun at the 2022 Grand Slamrock 5K, Strike it Lucky 1 Mile, &amp; Leprechaun Chase 1/2 Mile at @fxbgnats stadium! Not registered yet?!?  Skip to it!!",skippy amp lucky going race starter amp official leprechaun grand slamrock strike lucky mile amp leprechaun chase mile stadium registered yet skip,0
Thu Feb 17 00:36:41 +0000 2022,Arsenal,3285,124,520,England,@James22908276 @Reuters It just seems to me that the political class in the US sometimes forgets that this conflict involves the 2 countries with the largest nuclear arsenal. This is not about 75k crazy dudes in the mountains and for sure can have very serious implications for all of us. This is no joke,seems political class sometimes forgets conflict involves country largest nuclear crazy dude mountain sure serious implication joke,-1
Thu Feb 17 00:35:32 +0000 2022,Arsenal,14233,200,562,England,"@TalkingTHFC Yes he hasn't got great players but 1% chance is massively downplaying it. Arsenal, West Ham &amp; United are every bit as poor as us &amp; frequently drop points. We had enough games in hand to go 3rd a few days ago &amp; he has been tactically outclassed by 2 mid table teams. Embarrassing.",yes got great player chance massively downplaying west ham amp united every bit poor amp frequently drop point enough game hand day ago amp tactically outclassed mid table team embarrassing,-1
Thu Feb 17 01:13:59 +0000 2022,Arsenal,4425,430,275,England,"Rival fans should be banned from talking about arsenal, I still see City fans talking about Saka as a left back in big 2022? 😭",rival fan banned talking still see city fan talking saka left back big,-1
Thu Feb 17 01:09:34 +0000 2022,Arsenal,102660,179,204,Usa,These tanks and other weapons are some of the machines in Russia's arsenal; whether the country will use them to invade Ukraine is unclear.... https://t.co/uUrugtzUSN,tank weapon machine russia whether country use invade unclear,0
Thu Feb 17 02:01:13 +0000 2022,Arsenal,48329,258,18,Nigeria,"Kylian Mbappe ‘a mix of Thierry Henry and Ronaldo’ and tipped to be ‘the Lionel Messi of Real Madrid’, as Arsenal icon says Paris Saint-Germain star is so good ‘he makes me scream’ https://t.co/wXaye3H1I5",kylian mbappe mix thierry henry ronaldo tipped lionel messi real madrid icon say paris star good make scream,1
Thu Feb 17 02:26:52 +0000 2022,Arsenal,34811,16747,11697,England,"@eyetestfb 'Get the Custard Creams out Barb, Arsenal fan chattin' wham on the arl Twitter.' https://t.co/vR08DHZaYH",custard cream barb fan chattin wham arl twitter,1
Thu Feb 17 02:45:28 +0000 2022,Arsenal,28598,152,310,England,Would take Maguire Pogba Bissaka at Arsenal people will call me crazy however remember structure key for top players to perform i said when Jorginho at Chelsea was shit under Lampard would love him at Arsenal people laughed but how good is Jorginho since right structure?,would take maguire pogba bissaka people call crazy however remember structure key top player perform said jorginho chelsea shit lampard would love people laughed good jorginho since right structure,1
Thu Feb 17 02:42:25 +0000 2022,Arsenal,5939,220,90,England,talk entzy with me i think sunoo and yuna would be the bestest of besties and sunghoon and chaeryeong would hit it off well. ryujin and jungwon being friends would be such a dangerous combo omg jungwon has his arsenal of gossip and ryujin’s ready to use it,talk entzy think sunoo yuna would bestest besties sunghoon chaeryeong would hit well ryujin jungwon friend would dangerous combo omg jungwon gossip ryujin ready use,1
Thu Feb 17 03:55:58 +0000 2022,Arsenal,412,7,59,Usa,@TomiyasuShogun @04undefeatedAFC @afc_cat I think he shoulda framed it as “I would be disappointed if Arsenal didn’t get top 4 this season” as opposed to how he said it. Because we all would be disappointed if we didn’t even though we see things like top 6 as an improvement and part of the plan,think shoulda framed would disappointed get top season opposed said would disappointed even though see thing like top improvement part plan,1
Thu Feb 17 03:53:57 +0000 2022,Arsenal,3763,1128,2362,England,"@sellhendo @667keos Watch him do it without being babysat by Van Dijk.

I've seen him for England and he was lost and out if his depth. Gomez will end up at Villa/Leicester, nowhere near that Arsenal back line.",watch without babysat van dijk seen england lost depth gomez end nowhere near back line,-1
Wed Feb 16 20:57:54 +0000 2022,Boris Johnson,329,27,135,England,Good bye Boris candle in the wind. Why the panic among Boris Johnson’s allies? Because they know Brexit is unravelling https://t.co/jGr56dJRDO,good bye boris candle wind panic among ally know brexit unravelling,-1
Wed Feb 16 20:51:16 +0000 2022,Boris Johnson,12983,1008,1268,Usa,Joe Biden and Boris Johnson are both hanging onto power by their claws. They are the only remaining heads of state still clinging to the Russian invasion fantasy.,hanging onto power claw remaining head state still clinging russian invasion fantasy,-1
Wed Feb 16 20:46:22 +0000 2022,Boris Johnson,268799,104423,48808,England,"Why the panic among Boris Johnson’s allies? Because they know Brexit is unravelling https://t.co/FkkBbsI4Ld #Brexit began unravelling the morning after the 'historic' referendum result, because it has no substance, it is nothing but a pile of empty promises, a catalogue of lies",panic among ally know brexit unravelling began unravelling morning referendum result substance nothing pile empty promise catalogue lie,-1
Wed Feb 16 20:45:09 +0000 2022,Boris Johnson,21406,3428,4997,England,"What is Brexit all about? It's completely dependent on a serial liar

This article by Michael Heseltine is worth the read 👇

#JohnsonOut_23 #BrexitReality

https://t.co/Q9OG6uPf5V",brexit completely dependent serial liar article michael heseltine worth read,-1
Wed Feb 16 20:44:26 +0000 2022,Boris Johnson,15584,536,3170,England,"Wish we had politicians of this calibre around now.
Why the panic among Boris Johnson’s allies? Because they know Brexit is unravelling | Michael Heseltine https://t.co/OPOLj6yBxN",wish politician calibre around panic among ally know brexit unravelling michael heseltine,-1
Wed Feb 16 20:39:33 +0000 2022,Boris Johnson,42847,115,80,England,"Mixed signals from Russia over Ukraine, says Boris Johnson. A bit like his mixed covid rules &amp; boozy parties, aka staff meetings !!! https://t.co/eh7EmVpyAY",mixed signal russia say bit like mixed covid rule amp boozy party aka staff meeting,-1
Wed Feb 16 20:39:04 +0000 2022,Boris Johnson,26294,1471,736,Canada,"Some journo said on here the Chinese ppl around have no idea what's going on in Ukraine, meanwhile they're roasting Boris Johnson on Weibo for leaving a post for Putin about Ukraine.",journo said chinese ppl around idea going meanwhile roasting weibo leaving post putin,-1
Wed Feb 16 20:36:14 +0000 2022,Boris Johnson,3778,2550,4217,England,"‘If Boris goes, Brexit goes’

#BrexitIsntWorking 

Why the panic among Boris Johnson’s allies? Because they know Brexit is unravelling | Michael Heseltine https://t.co/nwDXRbcnkL",boris brexit panic among ally know brexit unravelling michael heseltine,-1
Wed Feb 16 21:22:23 +0000 2022,Boris Johnson,252,1,7,England,"The Guardian: Why the panic among Boris Johnson’s allies? Because they know Brexit is unravelling.
https://t.co/2bEq45VnMi
WORTH A READ. 😎🇬🇧🌎
via @GoogleNews",guardian panic among ally know brexit unravelling worth read via,-1
Wed Feb 16 21:41:11 +0000 2022,Boris Johnson,72241,219,341,England,@BorisJohnson #joke : 'Donald Trump and Boris Johnson go in to shake each other’s hands for the first time and they immediately bounce off each other like two guys wearing inflatable sumo suits' #BorisJohnson #NotMyPrimeMinister https://t.co/Le5Ud6pUkN,trump shake hand first time immediately bounce like two guy wearing inflatable sumo suit,-1
Wed Feb 16 21:33:21 +0000 2022,Boris Johnson,6516,104,647,England,Thank God clownish shambles Boris Johnson is leading the UK during the Russian crisis rather than Jeremy Corbyn.,thank god clownish shamble leading russian crisis rather jeremy corbyn,-1
Wed Feb 16 21:48:16 +0000 2022,Boris Johnson,243090,26488,25075,England,"Why the panic among Boris Johnson’s allies? Because they know Brexit is unravelling

There is an air of desperation in attacks from those on the right and their supporters in the press. They fear if Johnson falls, the Brexit deception will crumble too
https://t.co/D53LXSeL1e",panic among ally know brexit unravelling air desperation attack right supporter press fear johnson fall brexit deception crumble,-1
Wed Feb 16 21:47:54 +0000 2022,Boris Johnson,227004,4121,4959,Usa,"PM must return Russia-linked cash donated to Tories, says Starmer https://t.co/FIu5hQDMsr",must return cash donated tory say starmer,-1
Wed Feb 16 22:10:12 +0000 2022,Boris Johnson,1159,75,215,England,"When Lord Heseltine speaks, Johnson should be afraid…

Why the panic among Boris Johnson’s allies? Because they know Brexit is unravelling | Michael Heseltine https://t.co/NoVFzBnNQw",lord heseltine speaks johnson panic among ally know brexit unravelling michael heseltine,-1
Wed Feb 16 22:28:46 +0000 2022,Boris Johnson,1566205,30452,33372,Belgium,"Andy Vermaut shares:UK PM Says ""Little Evidence Of Russia withdrawing"" From Ukraine: British Prime Minister Boris Johnson said Wednesday there was ""currently little evidence of Russia disengaging"" from its military buildup near Ukraine, in a… https://t.co/XSJiJGaiXB Thank you. https://t.co/J2EAgPHA3N",andy vermaut share say little evidence russia withdrawing british prime minister said wednesday currently little evidence russia disengaging military buildup near thank,-1
Wed Feb 16 22:25:34 +0000 2022,Boris Johnson,11211,98966,3,India,"Little evidence of Russia withdrawing from Ukraine, says UK PM Boris Johnson https://t.co/CZOQesDpmK",little evidence russia withdrawing say boris johnson,-1
Wed Feb 16 22:42:43 +0000 2022,Boris Johnson,42598,2632,4588,Usa,"#Amanpour talking up Russia banking vulnerability at hands of Britain's titan Boris Johnson.
Now Christiane tell us about British bank HSBC and its ties to dark money and drug profiteering.
No, that is off-limits, thank-you
#ChristianeAmapour devoted to her #DavosMen, so so much.",talking russia banking vulnerability hand britain titan christiane tell british bank hsbc tie dark money drug profiteering devoted much,-1
Wed Feb 16 22:40:47 +0000 2022,Boris Johnson,916,496,799,England,"@cstrawberryquee Hi Chrissie. I do like the Queen. Practically everyone does. On the whole, though, I’d prefer a republic with a ceremonial president. Not Boris Johnson 😁 

#BorisResign",chrissie like queen practically everyone whole though prefer republic ceremonial president,-1
Wed Feb 16 22:38:41 +0000 2022,Boris Johnson,6859,314,614,England,"@volpiranyas @AndrewLazarus4 @quigley_jesse @FrankDElia7 @_mamadeb @mcfunny @foofdawg @Mchael21592783M @stevenmosher @greenboat @crabb_vicki @DCGreenZone1 @provaxtexan @AGoldsmithEsq @infinitebritt @tenebra99 @i_am_joli_anne @JonInTn1 @CoralBlob @melissa94307909 @Alaskacryptogi1 @SkepticalMutant @LiamKav @TakethatCt @swedishchf @doritmi @clownworld_bobo @wendy_Lynnette @katieorourke78 @Monstercoyliar @docstardust @JustPlaying2Win @ghoppe @EstesPga @gobantwo2 @MdRisette @ZaynJaffer @Kathmarval @JawKneeFaiv @MickusDickus @policing_uk @BrockKrause @dodi_rains @carlsmythe @RenfieldThomas @TonyBaduy @ncdave4life @indyymac @Kolyin @diederikdk Most of us can separate politics from public health. I didn't vote for Boris Johnson.
 
So with what you have just said you would have got vaccinated if Trump had won? 🙃",separate politics public health vote said would got vaccinated trump,-1
Wed Feb 16 22:33:49 +0000 2022,Boris Johnson,58334,2111,4385,Usa,"Check out this article &amp; Video 👀 from The New York Times. Because I'm a subscriber, you'll be able to read it for free. Destructive Liars in the UK and USA - a treatise on Boris &amp; Trump #DemCast https://t.co/kZs6bNi9it",check article amp video new york time subscriber able read free destructive liar usa treatise boris amp trump,-1
Wed Feb 16 22:57:20 +0000 2022,Boris Johnson,2168,67411,230,England,"Great piece from Michael Heseltine in the Guardian, following last week’s Guardian extraction of John Major’s coruscating attack on Johnson. Its pages are a refuge for all. Why the panic among Boris Johnson’s allies? Because they know Brexit is unravelling https://t.co/15MqwbDgcL",great piece michael heseltine guardian following last week guardian extraction john major coruscating attack johnson page refuge panic among ally know brexit unravelling,-1
Wed Feb 16 23:19:33 +0000 2022,Boris Johnson,52613,356,238,England,"#Peston 
The first thing this corrupt Tory government ought to be doing is handing back their dirty Russian money.
Vladimir Putin will never take Boris Johnson and the Tories seriously because he has the receipts.
https://t.co/o6mbDm9LQN",first thing corrupt tory government ought handing back dirty russian money vladimir putin never take tory seriously receipt,-1
Thu Feb 17 00:06:33 +0000 2022,Boris Johnson,7232,224,420,England,@blairmcdougall @dhothersall But but.... Blair McDougall said Boris Johnson would never become PM: it was all scaremongering........,blair mcdougall said would never become scaremongering,-1
Thu Feb 17 00:43:50 +0000 2022,Boris Johnson,37102,211,1897,Australia,"“In a video call on Thursday, #British Prime Minister, Boris Johnson and his #Australian counterpart, Scott Morrison also called for peace and stability across the #TaiwanStrait and warned #Russia against invading #Ukraine.”  https://t.co/4vNveT2GjS",video call thursday prime minister counterpart scott morrison also called peace stability across warned invading,0
Thu Feb 17 00:32:10 +0000 2022,Boris Johnson,3342,378,1186,England,Awful lot of Russian connections &amp; donations to Boris Johnson &amp; his dwindling allies??? #JohnsonOut_24 https://t.co/SL7KwCwhjc,awful lot russian connection amp donation amp dwindling ally,-1
Thu Feb 17 00:52:57 +0000 2022,Boris Johnson,203101,1100409,216,UAE,"#RussiaUkraine 

UK Prime Minister Johnson: 'Little evidence' Russia withdrawing from Ukraine border   https://t.co/6GJEX9AgbK",prime minister johnson evidence russia withdrawing border,0
Thu Feb 17 01:13:54 +0000 2022,Boris Johnson,121587,15100,16531,England,UK polls: What the latest opinion polling says about Boris Johnson and Keir Starmer's popularity - inews https://t.co/Hr26l3LeDG,poll latest opinion polling say keir starmer popularity inews,0
Thu Feb 17 01:12:35 +0000 2022,Boris Johnson,22130,1548,4902,Usa,"@WBZNightside Russia is in Withdrawal, because there was never a threat in the first place! A Biden/Boris Johnson Hoax! Russia announced Training Exercises 2 months ago? Hello! This was all a Reuse. Putin played along, to ensure energy prices go up &amp; So Putin/Biden get rich! Media Propaganda!",russia withdrawal never threat first place hoax russia announced training exercise month ago hello reuse putin played along ensure energy price amp get rich medium propaganda,-1
Thu Feb 17 01:57:52 +0000 2022,Boris Johnson,41006,559,327,England,The BBC reports: UK: Schools in England given guidance to avoid biased teaching - lesson 1: don't let Tories anywhere near a classroom https://t.co/v4Y4DO6BBQ,bbc report school england given guidance avoid biased teaching lesson let tory anywhere near classroom,-1
